r1	r2	r1*r2.p.value
2	13	nan
3	8	nan
3	10	nan
3	16	nan
3	17	nan
3	20	nan
3	21	nan
3	27	nan
3	29	0.0029695209
3	30	nan
3	31	nan
3	32	nan
3	33	nan
5	8	nan
5	7	nan
5	11	nan
5	22	nan
5	29	0.0070003342
5	26	nan
5	28	nan
6	9	nan
6	11	nan
6	13	nan
6	14	nan
6	18	nan
6	19	nan
6	20	nan
6	36	nan
6	40	nan
6	43	nan
6	44	nan
8	48	nan
9	10	nan
9	17	nan
9	29	0.0033838308
9	37	nan
10	14	nan
10	15	nan
10	18	nan
10	19	nan
10	20	nan
10	22	nan
10	25	nan
10	28	nan
10	34	nan
10	35	nan
10	36	nan
10	37	nan
10	38	0.0072327015
10	40	nan
10	42	0.0013838271
10	45	0.0080526940
10	46	0.0078221460
10	47	0.0078221460
11	15	nan
11	17	nan
11	18	nan
11	21	nan
11	25	nan
11	27	nan
11	29	nan
11	32	nan
11	37	nan
11	39	nan
11	40	nan
11	42	nan
11	43	nan
11	45	nan
11	46	nan
11	47	nan
11	48	nan
11	49	nan
12	15	0.0004906542
12	48	nan
13	14	nan
13	22	nan
13	37	nan
13	43	nan
14	16	nan
14	21	nan
14	24	nan
14	27	nan
14	30	nan
14	31	nan
14	39	nan
14	43	nan
14	49	nan
14	48	nan
15	18	nan
15	19	nan
15	21	nan
15	22	nan
15	25	nan
15	26	nan
15	27	nan
15	32	nan
15	33	nan
15	37	nan
15	39	nan
15	40	nan
15	42	nan
15	46	nan
15	47	nan
15	48	nan
15	49	nan
16	44	nan
18	21	nan
18	27	nan
18	39	nan
18	43	nan
18	48	nan
18	49	nan
19	29	0.0060335338
20	26	nan
20	28	nan
20	29	0.0065840228
20	32	nan
21	22	nan
21	24	nan
21	30	nan
21	31	nan
21	44	nan
22	28	0.0013783872
22	37	nan
22	43	nan
23	37	nan
25	29	0.0062072895
25	28	nan
25	27	nan
25	33	nan
26	48	nan
27	30	nan
27	31	nan
27	44	nan
28	29	0.0011059368
28	40	nan
28	43	nan
28	49	nan
30	36	nan
30	37	nan
30	39	nan
30	40	nan
30	43	nan
30	45	nan
30	46	nan
30	47	nan
31	36	nan
31	37	nan
31	39	nan
31	40	nan
31	43	nan
31	45	nan
31	46	nan
31	47	nan
32	40	nan
34	37	nan
35	42	nan
36	37	nan
37	39	nan
37	40	nan
37	38	nan
37	43	nan
37	48	nan
37	49	nan
38	46	nan
38	47	nan
40	43	nan
40	46	nan
40	47	nan
41	43	nan
41	47	0.0057020647
41	46	0.0057020647
42	44	nan
42	48	nan
43	45	nan
43	49	nan
43	48	nan
44	48	nan
44	49	nan
45	49	nan
45	48	nan
48	49	nan
