r1	r2	r1.p.value	r2.p.value	r1*r2.p.value
3	2162	0.443095	0.001220	0.0000095110
3	4006	0.003275	0.141093	0.0000072497
5	2211	0.743645	0.454055	0.0000064251
11	4032	0.000223	0.303341	0.0000000000
20	2458	0.460719	0.892806	0.0000039737
25	2403	0.343060	0.051144	0.0000071241
36	2256	0.549568	0.318622	0.0000073082
40	2438	0.673669	0.065423	0.0000087335
43	4552	0.467616	0.012149	0.0000000000
56	1844	0.187242	0.395887	0.0000065152
56	2470	0.952971	0.288949	0.0000051949
60	921	0.260402	0.043041	0.0000018591
66	2375	0.510144	0.082322	0.0000066821
66	2419	0.485152	0.941012	0.0000037181
66	2429	0.233575	0.146187	0.0000072049
75	2355	0.517728	0.311228	0.0000022846
79	1630	0.071320	0.726538	0.0000045687
79	2270	0.051434	0.485900	0.0000086375
79	2397	0.051627	0.949057	0.0000095627
82	2352	0.137118	0.296266	0.0000050110
83	653	0.488156	0.442608	0.0000001539
83	2294	0.277252	0.633744	0.0000015818
83	2376	0.207675	0.174253	0.0000019477
83	2373	0.329525	0.289335	0.0000043937
83	2368	0.420046	0.115237	0.0000007816
83	2375	0.492302	0.109834	0.0000072041
86	2336	0.449634	0.242436	0.0000094846
86	2399	0.670250	0.857994	0.0000064745
86	2468	0.629091	0.938668	0.0000069613
87	2398	0.095344	0.869005	0.0000041590
90	2282	0.182969	0.359073	0.0000006584
90	2279	0.221073	0.450922	0.0000019073
90	2284	0.221073	0.450922	0.0000019073
90	2277	0.229970	0.636487	0.0000028242
90	2283	0.266283	0.894033	0.0000030141
90	2299	0.248922	0.889615	0.0000019793
90	2435	0.169187	0.230956	0.0000025546
92	2355	0.090047	0.362826	0.0000025359
109	239	0.906584	0.608272	0.0000023776
109	240	0.906584	0.608272	0.0000023776
131	2242	0.090953	0.437810	0.0000017914
131	2292	0.066851	0.931147	0.0000018196
131	2334	0.146254	0.248582	0.0000012366
131	2473	0.491318	0.574750	0.0000086428
140	4113	0.076924	0.002092	0.0000076396
141	2006	0.323194	0.665432	0.0000080154
141	3302	0.278558	0.306226	0.0000058490
141	3303	0.278558	0.306226	0.0000058490
141	3304	0.329462	0.904761	0.0000067456
141	3864	0.305913	0.631080	0.0000068190
144	2244	0.122862	0.027573	0.0000076356
150	1634	0.058504	0.006372	0.0000079108
150	1632	0.049162	0.001431	0.0000056923
155	498	0.068707	0.669697	0.0000008008
155	1993	0.240606	0.188799	0.0000002137
157	1461	0.270621	0.562198	0.0000068551
157	1843	0.340153	0.413077	0.0000093223
157	1859	0.237811	0.000296	0.0000027153
199	2741	0.471706	0.499938	0.0000035736
214	1609	0.227862	0.059425	0.0000026915
215	1673	0.031862	0.080530	0.0000025855
215	2004	0.274695	0.207797	0.0000000187
215	2010	0.233278	0.101815	0.0000000411
215	2722	0.099970	0.168466	0.0000035876
215	3781	0.008297	0.733525	0.0000025146
215	4169	0.096639	0.034399	0.0000019914
215	4987	0.112513	0.987349	0.0000069966
217	1651	0.064988	0.368593	0.0000025112
217	1765	0.072112	0.032344	0.0000045346
217	1888	0.035618	0.000193	0.0000021596
217	2138	0.063927	0.081654	0.0000019101
217	2166	0.051953	0.393482	0.0000047689
217	2160	0.023221	0.136646	0.0000005595
217	4091	0.024915	0.940529	0.0000011782
217	4529	0.034920	0.395228	0.0000098713
217	4531	0.024537	0.012125	0.0000064429
232	1711	0.001099	0.568128	0.0000006792
232	4300	0.016404	0.966413	0.0000019632
233	2718	0.036031	0.081836	0.0000043286
233	2979	0.045945	0.855217	0.0000069391
244	577	0.842308	0.174305	0.0000052376
244	4138	0.000039	0.025115	0.0000050054
248	869	0.121978	0.009604	0.0000001527
248	884	0.011888	0.071763	0.0000037402
248	2020	0.002151	0.115289	0.0000045265
248	2812	0.098186	0.209952	0.0000003899
248	2909	0.010385	0.022794	0.0000010629
248	2917	0.010385	0.022794	0.0000010629
248	2912	0.010385	0.022794	0.0000010629
248	2915	0.010385	0.022794	0.0000010629
248	3224	0.021960	0.215947	0.0000045638
248	3517	0.014340	0.263306	0.0000061922
248	3524	0.016190	0.389638	0.0000072525
248	3529	0.000542	0.013729	0.0000065742
248	3650	0.000179	0.000298	0.0000033166
248	3651	0.000179	0.000298	0.0000033166
248	3985	0.032093	0.981170	0.0000007561
248	4137	0.000011	0.634983	0.0000017973
248	4134	0.000011	0.634983	0.0000017973
248	4311	0.030912	0.545191	0.0000005780
248	4333	0.033663	0.401544	0.0000031323
255	1839	0.000020	0.153482	0.0000062253
255	1837	0.000025	0.561629	0.0000046912
257	1839	0.000038	0.362601	0.0000040460
261	2781	0.511371	0.005369	0.0000004135
261	2782	0.396520	0.019411	0.0000034036
267	1960	0.000191	0.843039	0.0000033065
272	976	0.043659	0.937523	0.0000044750
272	978	0.161142	0.189183	0.0000096792
272	1031	0.030225	0.019280	0.0000029893
272	1032	0.030225	0.019280	0.0000029893
276	532	0.083811	0.287361	0.0000024666
276	940	0.112484	0.790407	0.0000018605
276	1497	0.127276	0.524020	0.0000078963
276	1498	0.133311	0.392001	0.0000099308
276	2954	0.001706	0.018067	0.0000079139
277	4491	0.000997	0.096643	0.0000059735
281	937	0.027264	0.402356	0.0000096066
281	934	0.027264	0.402356	0.0000096066
281	938	0.027264	0.402356	0.0000096066
281	932	0.027264	0.402356	0.0000096066
281	931	0.027264	0.402356	0.0000096066
290	3242	0.562443	0.019077	0.0000062079
293	4755	0.118648	0.395731	0.0000061236
300	2689	0.284532	0.892413	0.0000001839
330	2485	0.002714	0.583375	0.0000046015
330	3506	0.000191	0.179405	0.0000017766
333	3604	0.320051	0.373555	0.0000085577
345	4835	0.097985	0.614511	0.0000090501
357	460	0.593930	0.458253	0.0000000000
358	564	0.335414	0.236087	0.0000076775
395	1628	0.216865	0.158431	0.0000024076
412	1730	0.009970	0.357770	0.0000064699
419	1049	0.046569	0.003915	0.0000034954
419	1315	0.059472	0.885396	0.0000051562
419	1846	0.135982	0.003200	0.0000016285
420	1126	0.092323	0.273773	0.0000039611
420	2221	0.432949	0.705887	0.0000072000
420	2866	0.181040	0.174216	0.0000087957
429	1097	0.063547	0.078345	0.0000015678
430	1060	0.065958	0.468895	0.0000077992
442	2092	0.730702	0.947842	0.0000032744
448	2025	0.356959	0.191543	0.0000041315
452	1948	0.036736	0.058929	0.0000049819
452	1946	0.042568	0.124379	0.0000092435
452	2231	0.223092	0.143901	0.0000036938
452	4572	0.316938	0.959852	0.0000026099
452	4573	0.316938	0.959852	0.0000026099
453	744	0.128901	0.137141	0.0000094860
453	2079	0.304694	0.041126	0.0000087888
453	4496	0.304238	0.901719	0.0000048392
454	730	0.305953	0.000507	0.0000015260
458	1842	0.012761	0.133065	0.0000065539
460	1640	0.225192	0.000848	0.0000085006
